model,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material
Raw efficiency,margin,True,9,5778,13.950605853564038,17.690461640634812,0.2708169078856385,-0.03008817113800594,2.264072810404381,0.12533566653243575,18.0640744413998,True
Raw efficiency,total,True,9,5778,13.16566554371028,16.60851183247969,0.09550536308735003,-0.024101927328987485,0.6802784826361119,0.0692447611001498,9.82425921944065,True
Raw efficiency,residual_margin,True,9,5778,12.230487098775052,15.457131814633097,-0.00025542291827518326,-0.008315607609360733,-0.006144765787857534,0.01033413085925229,-0.5946088617947044,False
Raw efficiency,residual_total,True,9,5778,12.724473224874385,16.04598969750186,-0.001022543070746007,-0.00833209782588195,-0.019601296871616023,0.013305493188200408,-1.4731732671885374,False
Adjusted efficiency (matched),margin,True,9,5778,13.419307606481286,16.938625710176154,0.3314796978730442,-0.013225997180582273,2.795371057487133,0.1333651183889353,20.96028625217381,True
Adjusted efficiency (matched),total,True,9,5778,13.21655023061952,16.656619544518417,0.09025791076484446,0.06056926291585041,0.6293937957268737,0.06815088080595792,9.235299504329378,True
Adjusted efficiency (matched),residual_margin,True,9,5778,12.223033405865287,15.456102527520255,-0.00012221376279275553,-0.011015993308808302,0.0013089271219052438,0.011140243036145928,0.11749538296949755,False
Adjusted efficiency (matched),residual_total,True,9,5778,12.732026457040096,16.05369554610634,-0.001984226396462896,0.067741796882608,-0.02715452903732808,0.014175293607311356,-1.9156237457629992,False
Adjusted efficiency (full),margin,True,12,5778,13.390576522108304,16.885568492987936,0.33566117941995244,-0.015212469565871356,2.8241021418601178,0.1338726912144194,21.095431161063672,True
Adjusted efficiency (full),total,True,12,5778,13.214847631713912,16.652773069053673,0.09067803161509835,0.07607204680945855,0.6310963946324811,0.06936237914298604,9.098540194700025,True
Adjusted efficiency (full),residual_margin,True,12,5778,12.229412399997761,15.452434454555245,0.0003524318908705304,-0.011642279863651878,-0.005070067010568316,0.013688688089260038,-0.3703837049619257,False
Adjusted efficiency (full),residual_total,True,12,5778,12.73371823384875,16.052932334818298,-0.0018889576788199136,0.07855081033477422,-0.02884630584598069,0.015209627279548638,-1.8965820342467155,False
SP+,margin,True,3,5778,14.192479244251654,17.874821839569236,0.2555394287125371,-0.004095044630779698,2.0221994197167663,0.12181357774542688,16.60077191019606,True
SP+,total,True,3,5778,13.569462805485374,17.167491580321457,0.03359706159756959,-0.0013120906589991464,0.276481220861019,0.04510472460948415,6.129761865409626,True
SP+,residual_margin,True,3,5778,12.226709390217835,15.460140567661238,-0.0006448631420594708,-0.004569428622752048,-0.002367057230642945,0.005690552288669156,-0.4159626536348946,False
SP+,residual_total,True,3,5778,12.715776372777226,16.03822225834682,-5.3640570573110224e-05,-0.007084992510319498,-0.010904444774458545,0.009269785529968934,-1.1763427254281997,False
FPI,margin,True,1,5778,14.103074279485604,17.810422810545408,0.2608940191176906,-0.0047153319038806575,2.1116043844828143,0.12186207085937165,17.32782291973027,True
FPI,total,True,1,5778,13.847660658372078,17.488087212485105,-0.0028342924773572253,0.027771326261059853,-0.0017166320256858133,0.004015089735832081,-0.42754512068957806,False
FPI,residual_margin,True,1,5778,12.227392546369632,15.460354493565962,-0.0006725556895812446,-0.00574330769357549,-0.0030502133824403766,0.0014409369048302768,-2.1168264704828634,False
FPI,residual_total,True,1,5778,12.719234481014887,16.04239883683436,-0.0005745644364909541,-9.670037330267225e-05,-0.014362553012119124,0.006835677466316241,-2.1011162511532495,False
Elo,margin,True,1,5778,13.104748071496159,16.49631953225089,0.3659370482730945,-0.006257192976246481,3.109930592472257,0.13743045924906727,22.62912173520488,True
Elo,total,True,1,5778,13.850212150807996,17.489781020640528,-0.0030285608546649634,0.026109124126337993,-0.004268124461602127,0.002911349001750127,-1.46602982295712,False
Elo,residual_margin,True,1,5778,12.228797943607521,15.461618793141781,-0.0008362261433505491,-0.0049764253849545435,-0.004455610620327889,0.001852954992511126,-2.4045973260740903,False
Elo,residual_total,True,1,5778,12.716280157748882,16.041534998749082,-0.0004668110819308069,-0.000879113680728316,-0.011408229746111652,0.007309129293977902,-1.560819255928481,False
Raw + Adjusted,margin,True,18,5778,13.410037086480369,16.920588152407323,0.33290272396479004,-0.019139632960898906,2.8046415774880513,0.13379993727835754,20.961456593610144,True
Raw + Adjusted,total,True,18,5778,13.158336605689728,16.580863918827564,0.09851425096113753,0.16580386736215072,0.6876074206566655,0.07176995747032938,9.580713781820634,True
Raw + Adjusted,residual_margin,True,18,5778,12.23835961197437,15.468055569712272,-0.0016697093917452666,-0.013209865781276602,-0.014017278987179116,0.013004939727454427,-1.0778426721646055,False
Raw + Adjusted,residual_total,True,18,5778,12.756435820231097,16.072743171690792,-0.004363335020603376,0.17453834378074515,-0.05156389222832655,0.016576394889161187,-3.1106819409836004,False
Adjusted + SP+ + FPI,margin,True,16,5778,13.34395008009303,16.787133586986055,0.3433841673557869,-0.03085953601937701,2.8707285838753878,0.13572208759198243,21.15152098533571,True
Adjusted + SP+ + FPI,total,True,16,5778,13.210273073345224,16.65243495772835,0.09071495626823667,0.07502480458453664,0.6356709530011684,0.07017676459376819,9.05813992253523,True
Adjusted + SP+ + FPI,residual_margin,True,16,5778,12.235106163325346,15.458450722071705,-0.00042612736940594864,-0.01016697952974786,-0.010763830338151079,0.014981213828089148,-0.7184885324825514,False
Adjusted + SP+ + FPI,residual_total,True,16,5778,12.738458055018755,16.058695642126484,-0.0026084811096702687,0.11219139595850568,-0.03358612701598528,0.016846662883192143,-1.9936367961333188,False
