method,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material
simple (A),margin,True,9,5778,13.718282848579472,17.36500217057817,0.2974003300392416,-0.013253418721790713,2.496395815388946,0.1279058173404605,19.517453289431113,True
simple (A),total,True,9,5778,13.329024846711881,16.776685742795998,0.07709522149217973,0.16780616706358134,0.5169191796345133,0.06502759460962526,7.9492280582988055,True
simple (A),residual_margin,True,9,5778,12.228895379246717,15.463535231708363,-0.001084345054710667,-0.008849163509693687,-0.004553046259523581,0.008929484723726783,-0.5098890249988955,False
simple (A),residual_total,True,9,5778,12.730835044408353,16.053424742178596,-0.001950422469549018,0.06970715769040435,-0.025963116405584737,0.013671251910266831,-1.899103065029982,False
iterative (B),margin,True,9,5778,13.41930770786594,16.938625854085725,0.3314796865136256,-0.01322599639376161,2.7953709561024778,0.13336511762898443,20.96028561140755,True
iterative (B),total,True,9,5778,13.21655016722411,16.656619486956135,0.09025791705265462,0.06056830547671498,0.6293938591222804,0.06815087862811653,9.235300729675638,True
iterative (B),residual_margin,True,9,5778,12.223033396435069,15.45610252229079,-0.00012221308602433645,-0.011015992295355211,0.0013089365521226273,0.01114024422037785,0.11749621697954403,False
iterative (B),residual_total,True,9,5778,12.732026442186797,16.053695548618844,-0.0019842267100962374,0.06774134296525858,-0.02715451418402634,0.014175289973474904,-1.9156231890027244,False
network (C),margin,True,9,5778,13.419307606481286,16.938625710176154,0.3314796978730442,-0.013225997180582273,2.795371057487133,0.1333651183889353,20.96028625217381,True
network (C),total,True,9,5778,13.21655023061952,16.656619544518417,0.09025791076484446,0.06056926291585041,0.6293937957268737,0.06815088080595792,9.235299504329378,True
network (C),residual_margin,True,9,5778,12.223033405865287,15.456102527520255,-0.00012221376279275553,-0.011015993308808302,0.0013089271219052438,0.011140243036145928,0.11749538296949755,False
network (C),residual_total,True,9,5778,12.732026457040096,16.05369554610634,-0.001984226396462896,0.067741796882608,-0.02715452903732808,0.014175293607311356,-1.9156237457629992,False
