metric,target,mae_gain,gain_se,gain_t,material,n_paired
EPA,margin,0.5681833745421555,0.07384318158057869,7.694459561200597,True,5778
EPA,total,-0.012398311222460514,0.03184732805511681,-0.3893045972649036,False,5778
EPA,residual_margin,-3.2391359065665034e-05,0.001798448259801804,-0.018010726129666185,False,5778
EPA,residual_total,0.003958673093027018,0.005957815181272021,0.664450469271157,False,5778
Success Rate,margin,0.4679263677316332,0.06964878757387637,6.718370613922093,True,5778
Success Rate,total,0.06880950074550446,0.026528609665866613,2.593784657853333,True,5778
Success Rate,residual_margin,-7.555943732318072e-05,0.0014882101253216745,-0.05077202206701063,False,5778
Success Rate,residual_total,0.002939389986366617,0.00536043510166058,0.5483491415568186,False,5778
Explosiveness,margin,0.14627611158702788,0.033409492405780915,4.378279975355669,True,5778
Explosiveness,total,0.03422265278305198,0.02170432553198343,1.576766471393989,False,5778
Explosiveness,residual_margin,6.6592181183611e-05,0.002450403431098651,0.02717600715803522,False,5778
Explosiveness,residual_total,-0.0013468615052534543,0.003489964071953687,-0.38592417500145765,False,5778
Havoc,margin,1.053548984429257,0.09137750067874671,11.529632312150769,True,5778
Havoc,total,-0.0120740988160506,0.00626640006912942,-1.9267998664068753,False,5778
Havoc,residual_margin,-0.003801747604671243,0.003840979951399485,-0.9897858496465343,False,5778
Havoc,residual_total,-0.004113663895037685,0.003239979889566858,-1.2696572309859695,False,5778
Finishing Drives,margin,1.0154557076236184,0.08973117564722499,11.316643299268108,True,5778
Finishing Drives,total,0.08264927141640475,0.04435774772051229,1.8632431911818048,False,5778
Finishing Drives,residual_margin,0.0008760355979647153,0.0042397692348596985,0.20662341496369316,False,5778
Finishing Drives,residual_total,-0.0008036001144447393,0.008381526844184913,-0.09587753274360453,False,5778
Pace,margin,-0.014491666949344796,0.005744888809351001,-2.522532189962771,False,5778
Pace,total,-0.05820286696366875,0.021069327450800143,-2.7624454126303113,False,5778
Pace,residual_margin,-0.0028922687770936107,0.0038978752117445514,-0.7420116396694837,False,5778
Pace,residual_total,0.0006561735733256962,0.005300177465798812,0.12380218918326379,False,5778
Full efficiency model,margin,0.5312982470827523,0.07306287862135036,7.271794611819427,True,5778
Full efficiency model,total,-0.05088468690923817,0.035625040060987434,-1.4283404824844366,False,5778
Full efficiency model,residual_margin,0.007453692909762776,0.007153147343788453,1.042015850020943,False,5778
Full efficiency model,residual_total,-0.007553232165712054,0.008852597820478708,-0.8532221071016203,False,5778
