model,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material
Raw efficiency,residual_margin,True,9,5778,12.230487098775052,15.457131814633097,-0.00025542291827518326,-0.008315607609360733,-0.006144765787857534,0.01033413085925229,-0.5946088617947044,False
Adjusted efficiency (matched),residual_margin,True,9,5778,12.223033405865287,15.456102527520255,-0.00012221376279275553,-0.011015993308808302,0.0013089271219052438,0.011140243036145928,0.11749538296949755,False
Adjusted efficiency (full),residual_margin,True,12,5778,12.229412399997761,15.452434454555245,0.0003524318908705304,-0.011642279863651878,-0.005070067010568316,0.013688688089260038,-0.3703837049619257,False
Adjusted net EPA only,residual_margin,True,2,5778,12.229203773099865,15.463901607751481,-0.0011317828056047752,-0.006758022986612304,-0.004861440112670948,0.0022994611057734937,-2.114164966941528,False
SP+,residual_margin,True,3,5778,12.226709390217835,15.460140567661238,-0.0006448631420594708,-0.004569428622752048,-0.002367057230642945,0.005690552288669156,-0.4159626536348946,False
FPI,residual_margin,True,1,5778,12.227392546369632,15.460354493565962,-0.0006725556895812446,-0.00574330769357549,-0.0030502133824403766,0.0014409369048302768,-2.1168264704828634,False
Elo,residual_margin,True,1,5778,12.228797943607521,15.461618793141781,-0.0008362261433505491,-0.0049764253849545435,-0.004455610620327889,0.001852954992511126,-2.4045973260740903,False
Adjusted + ratings,residual_margin,True,17,5778,12.236961485704324,15.45993849761194,-0.0006187056780284639,-0.011558331769128525,-0.012619152717129751,0.015094302416528876,-0.8360209282219803,False
Raw efficiency,residual_total,True,9,5778,12.724473224874385,16.04598969750186,-0.001022543070746007,-0.00833209782588195,-0.019601296871616023,0.013305493188200408,-1.4731732671885374,False
Adjusted efficiency (matched),residual_total,True,9,5778,12.732026457040096,16.05369554610634,-0.001984226396462896,0.067741796882608,-0.02715452903732808,0.014175293607311356,-1.9156237457629992,False
Adjusted efficiency (full),residual_total,True,12,5778,12.73371823384875,16.052932334818298,-0.0018889576788199136,0.07855081033477422,-0.02884630584598069,0.015209627279548638,-1.8965820342467155,False
Adjusted net EPA only,residual_total,True,2,5778,12.71561088938832,16.037236998309947,6.922624172589487e-05,0.04920083085143958,-0.010738961385553018,0.010483841502505508,-1.0243345803145287,False
SP+,residual_total,True,3,5778,12.715776372777226,16.03822225834682,-5.3640570573110224e-05,-0.007084992510319498,-0.010904444774458545,0.009269785529968934,-1.1763427254281997,False
FPI,residual_total,True,1,5778,12.719234481014887,16.04239883683436,-0.0005745644364909541,-9.670037330267225e-05,-0.014362553012119124,0.006835677466316241,-2.1011162511532495,False
Elo,residual_total,True,1,5778,12.716280157748882,16.041534998749082,-0.0004668110819308069,-0.000879113680728316,-0.011408229746111652,0.007309129293977902,-1.560819255928481,False
Adjusted + ratings,residual_total,True,17,5778,12.743395011681395,16.06501220852603,-0.0033973731482410674,0.12311674546036551,-0.0385230836786259,0.01735950312086296,-2.2191351567158724,False
Weather (wind/temp/precip),residual_margin,True,5,5778,12.242631021889329,15.476573656360483,-0.002773229955541412,-0.006232076109906282,-0.018288688902135846,0.005771817589015522,-3.168618657828249,False
Line movement,residual_margin,True,2,5778,12.226131747263901,15.456828167417394,-0.00021612432206130627,-0.009389627027591736,-0.0017894142767077438,0.0044185532864954085,-0.40497741244329866,False
Rest + travel,residual_margin,True,2,5778,12.230864826068611,15.463182794187949,-0.0010387131007802974,-0.004382552594227486,-0.006522493081418822,0.005439553365756858,-1.1990861460206088,False
Weather (wind/temp/precip),residual_total,True,5,5778,12.720313498535837,16.057007201805394,-0.002397660053075512,-0.00585405646219977,-0.01544157053306766,0.007663428755679354,-2.0149688899533302,False
Line movement,residual_total,True,2,5778,12.723197891015321,16.05104429023408,-0.0016532998262350773,-0.011581502640361618,-0.018325963012549778,0.0072017383529888665,-2.544658263646045,False
Rest + travel,residual_total,True,2,5778,12.721859642124413,16.047061940562504,-0.0011563304353816584,-0.004585284726659189,-0.01698771412164354,0.005724024362315158,-2.967792071865437,False
