bucket,n,claimed,actual,gap,z
0.50-0.51,310,0.5051555320112018,0.47096774193548385,-0.03418779007571793,-1.2038763175360179
0.51-0.52,277,0.5149956753262686,0.45126353790613716,-0.0637321374201314,-2.1214283294218244
0.52-0.53,259,0.5248911475877915,0.5637065637065637,0.03881541611877215,1.249350008403762
0.53-0.54,266,0.5350289722952037,0.48872180451127817,-0.046307167783925574,-1.5104941014818387
0.54-0.55,271,0.5449810652197717,0.5166051660516605,-0.02837589916811123,-0.9342525100320128
0.55-0.56,253,0.5550782686142491,0.4268774703557312,-0.12820079825851793,-4.078317056116489
0.56-0.57,233,0.5648887653709722,0.5321888412017167,-0.03269992416925549,-0.9982853589576255
0.57-0.58,237,0.5747327783687043,0.5654008438818565,-0.00933193448684777,-0.28732661067319226
0.58-0.60,460,0.5895222658887396,0.4717391304347826,-0.11778313545395697,-5.052333646460012
0.60-1.01,2411,0.6858781575660274,0.5022812111157197,-0.18359694645030777,-18.029930584038297
