bucket,n,claimed,actual,gap,z
0.50-0.51,299,0.505363174951136,0.4983277591973244,-0.0070354157538116135,-0.24330742178458273
0.51-0.52,323,0.5153647600150342,0.5386996904024768,0.02333493038744261,0.8387601070826722
0.52-0.53,313,0.5248525529361465,0.5527156549520766,0.02786310201593012,0.9858971915699738
0.53-0.54,356,0.5352101079685302,0.5056179775280899,-0.02959213044044029,-1.1166864009298862
0.54-0.55,300,0.5450262237477684,0.5,-0.045026223747768435,-1.5597541440819853
0.55-0.56,276,0.5549175223006804,0.5833333333333334,0.028415811032653004,0.9441578160320246
0.56-0.57,271,0.564696758997406,0.5350553505535055,-0.029641408443900508,-0.9759183339190528
0.57-0.58,269,0.5746509552082746,0.5055762081784386,-0.06907474702983596,-2.2658201713078987
0.58-0.60,486,0.5896488960955839,0.49382716049382713,-0.09582173560175677,-4.224858452859328
0.60-1.01,2113,0.6737167683844633,0.5238996687174633,-0.14981709966699996,-13.773399023350917
