characteristic,n,rate_in_blowups,rate_elsewhere,lift,z,p,pre_kickoff
Either team changed quarterback,5778.0,0.34679334916864607,0.30352809408250886,1.1425411878821876,1.853713348182497,0.06378018101589794,False
Either team started a backup,5778.0,0.40380047505938244,0.37633003546761246,1.0729956075858689,1.119084823969115,0.2631039535215026,False
Either team used a committee,5778.0,0.2992874109263658,0.20795221205898823,1.4392124419502168,4.3952717348683406,1.1063426816073088e-05,False
Recurring rivalry fixture,5778.0,0.37767220902612825,0.40787754340115734,0.9259450909624573,-1.2153331344617315,0.22423905926363452,True
Bowl / postseason,5778.0,0.021377672209026127,0.02333395557214859,0.9161615201900237,-0.25678904946212194,0.7973416239522501,True
Top-10 vs top-10,5778.0,0.004750593824228029,0.012507000186671644,0.3798347927819336,-1.4107388515552326,0.15832163065098814,True
Visitor travelled 1500+ miles,5778.0,0.05463182897862233,0.058988239686391636,0.9261478096154425,-0.3662351956384455,0.7141895814988151,True
Conference game,5778.0,0.7054631828978623,0.718125816688445,0.9823671096396798,-0.5554932517961447,0.5785573245957071,True
Closing spread size (mean),,10.6270783847981,11.260173604629458,,,,
Wind (mean),,7.53142865382653,7.363341167548321,,,,
Closing total (mean),,54.93111638954869,54.16301101362703,,,,
