dimension,group,games,blowups,rate,z
home_conference,ACC,677,49,0.0723781388478582,-0.048496791701015216
home_conference,American Athletic,528,49,0.0928030303030303,1.7628994451031121
home_conference,Big 12,567,48,0.08465608465608465,1.0804632441226236
home_conference,Big Ten,759,55,0.07246376811594203,-0.042273387482019434
home_conference,Conference USA,472,42,0.08898305084745763,1.3474862081565395
home_conference,FBS Independents,201,16,0.07960199004975124,0.36761687083560823
home_conference,Mid-American,454,31,0.06828193832599119,-0.375517449131719
home_conference,Mountain West,471,33,0.07006369426751592,-0.23370695174832168
home_conference,Pac-12,411,25,0.06082725060827251,-0.9387601331558385
home_conference,SEC,738,35,0.04742547425474255,-2.658713742799542
home_conference,Sun Belt,500,38,0.076,0.2699187310819501
season,2018,707,55,0.07779349363507779,0.5044435515944216
season,2019,699,50,0.0715307582260372,-0.13547560068456035
season,2020,508,38,0.07480314960629922,0.16828145306717282
season,2021,732,58,0.07923497267759563,0.6633360286318041
season,2022,734,51,0.06948228882833787,-0.35235309552634586
season,2023,792,48,0.06060606060606061,-1.3271056318751282
season,2024,798,66,0.08270676691729323,1.0699336978673069
season,2025,808,55,0.06806930693069307,-0.5242201592420852
