season,week,home_team,away_team,closing_spread,actual_margin,market_residual_margin,qb_change_either,abs_residual
2023,1,Eastern Michigan,South Alabama,-17.75,-49.0,-66.75,True,66.75
2018,13,Duke,Wake Forest,-9.5,-52.0,-61.5,False,61.5
2022,13,Liberty,New Mexico State,-24.0,-35.0,-59.0,True,59.0
2025,12,Nevada,San José State,9.5,45.0,54.5,True,54.5
2020,15,Arizona,Arizona State,9.0,-63.0,-54.0,True,54.0
2019,5,Maryland,Penn State,6.5,-59.0,-52.5,False,52.5
2019,12,Duke,Syracuse,-9.0,-43.0,-52.0,False,52.0
2024,3,Purdue,Notre Dame,7.5,-59.0,-51.5,False,51.5
2020,1,Navy,BYU,1.0,-52.0,-51.0,False,51.0
2023,12,Arkansas State,Texas State,3.25,46.0,49.25,False,49.25
2023,1,Syracuse,South Florida,-4.25,-45.0,-49.25,True,49.25
2022,9,Rice,Charlotte,-15.0,-33.0,-48.0,False,48.0
2024,14,Tulsa,Florida Atlantic,-1.0,-47.0,-48.0,True,48.0
2025,4,San Diego State,California,14.0,34.0,48.0,False,48.0
2018,12,Illinois,Iowa,15.5,-63.0,-47.5,False,47.5
