market,season,games_in_sample,games_with_opener,coverage,books_posting_openers,mean_books_per_game,single_book_share,median_abs_move,no_move_share,open_price_known
margin,2018,707,707,1.0,1,1.0,1.0,1.0,0.12871287128712872,1.0
margin,2019,699,695,0.994277539341917,1,1.0,1.0,1.5,0.11223021582733812,1.0
margin,2021,732,732,1.0,1,1.0,1.0,1.0,0.16939890710382513,0.0
margin,2022,734,727,0.9904632152588556,1,1.0,1.0,1.0,0.16506189821182943,0.0
margin,2023,792,792,1.0,2,1.9128787878787878,0.08712121212121213,1.0,0.2726072607260726,0.0
margin,2024,798,798,1.0,3,2.8157894736842106,0.0037593984962406013,1.0,0.14730752113929685,0.0
margin,2025,808,808,1.0,3,2.75990099009901,0.050742574257425746,1.0,0.19013452914798207,0.0
total,2018,707,707,1.0,1,1.0,1.0,2.0,0.07637906647807638,1.0
total,2019,699,699,1.0,1,1.0,1.0,2.0,0.08011444921316166,1.0
total,2021,732,732,1.0,1,1.0,1.0,1.0,0.13797814207650272,0.0
total,2022,734,732,0.997275204359673,1,1.0,1.0,1.5,0.09153005464480875,0.0
total,2023,792,792,1.0,2,1.5694444444444444,0.4305555555555556,1.0,0.22284794851166534,0.0
total,2024,798,798,1.0,3,2.119047619047619,0.013784461152882205,1.0,0.179183914843288,0.0
total,2025,808,808,1.0,3,2.006188118811881,0.07425742574257425,1.0,0.1727328809376928,0.0
