regime,games,graded,beat_rate,z,mean_clv
All games,8146,6656,0.5543870192307693,8.874255115002834,0.28204026516081515
Season phase: Early (weeks 1-4),2171,1749,0.5117209834190967,0.9803676047105645,0.07554122524182405
Season phase: Mid (weeks 5-10),3465,2918,0.5613433858807403,6.6273572629374735,0.3445887445887446
Season phase: Late (weeks 11+),2414,1908,0.5849056603773585,7.417470453229205,0.39498757249378624
Profile: most-quoted quarter,2261,1908,0.5487421383647799,4.258177482409364,0.17956656346749225
Profile: least-quoted quarter,5885,4748,0.5566554338668913,7.80776836495391,0.32141036533559897
Spread: small (|line| <= 7),3818,3057,0.5685312397775597,7.578204202421246,0.3611838658983761
Spread: large (|line| > 14),2234,1849,0.513250405624662,1.139534883720928,0.08034914950760967
Talent: top quarter,2022,1715,0.5778425655976677,6.4473196003575435,0.6565281899109793
Talent: bottom quarter,2023,1651,0.5687462144155058,5.586661019306579,0.18017795353435492
