regime,games,graded,beat_rate,z,mean_clv
All games,6718,5634,0.5880369187078452,13.216098014026871,0.4098690086335219
Season phase: Early (weeks 1-4),2063,1703,0.559013505578391,4.870670307310193,0.3017450315075133
Season phase: Mid (weeks 5-10),2694,2343,0.6009389671361502,9.771809602668185,0.4586117297698589
Season phase: Late (weeks 11+),1864,1495,0.5973244147157191,7.5261417316277335,0.43240343347639487
Profile: most-quoted quarter,2276,2023,0.601581809194266,9.137846965105437,0.4422231985940246
Profile: least-quoted quarter,4442,3611,0.5804486291885904,9.668573168629488,0.39329131022062136
Spread: small (|line| <= 7),3093,2603,0.5858624663849404,8.761338079776214,0.4110895570643388
Spread: large (|line| > 14),1914,1577,0.605580215599239,8.385488870011882,0.4177115987460815
Talent: top quarter,1669,1413,0.5888181174805379,6.67732693337911,0.4224086279209107
Talent: bottom quarter,1669,1416,0.605225988700565,7.919260651445736,0.4700419412822049
