target,feature,n,correlation,suspicious
actual_margin,closing_spread,5778,-0.6659198839456879,False
actual_margin,fpi_home_win_prob,5776,0.623807262417962,False
actual_margin,elo_diff,5778,0.6051907811243017,False
actual_margin,fpi_diff,5669,0.5165664651247479,False
actual_margin,sp_plus_diff,5684,0.5121781815371682,False
actual_margin,success_rate_diff,5733,0.44891144744624917,False
actual_margin,off_epa_diff,5733,0.4307786433399302,False
actual_margin,sp_plus_def_diff,5684,-0.4082156608012201,False
actual_total,closing_total,5778,0.3989677774125358,False
actual_margin,def_success_rate_diff,5733,-0.3940941720309971,False
actual_margin,sp_plus_off_diff,5684,0.3916479124314191,False
actual_margin,def_epa_diff,5733,-0.3865945087826236,False
actual_margin,recruiting_rank_diff,5767,0.38557767837691626,False
actual_margin,talent_diff,5756,0.3777209141824466,False
actual_margin,finishing_drives_diff,5733,0.37154379702499457,False
actual_margin,closing_spread_abs,5778,0.30228888600978143,False
actual_margin,havoc_diff,5733,0.2521951917635716,False
actual_total,pace_sum,5733,-0.21678934705776173,False
actual_total,total_movement,5268,0.17635337334805756,False
actual_total,off_epa_sum,5733,0.14204221776631057,False
actual_total,sp_plus_def_sum,5684,0.1257552661420203,False
actual_total,explosiveness_sum,5733,0.12474743333853087,False
actual_total,def_epa_sum,5733,0.11995393293067155,False
actual_total,success_rate_sum,5733,0.11742253340597544,False
actual_margin,explosiveness_diff,5733,-0.11631289448385486,False
actual_margin,returning_production_diff,5680,0.11504995614276665,False
actual_total,finishing_drives_sum,5733,0.10458858565548054,False
actual_total,def_explosiveness_sum,5732,0.10226423779581768,False
actual_total,def_success_rate_sum,5733,0.10215168097114008,False
actual_total,sp_plus_off_sum,5684,0.09612576862196466,False
actual_margin,def_explosiveness_diff,5732,0.08692513515762937,False
actual_margin,weather_temp,5312,0.06406520836670566,False
actual_total,closing_spread_abs,5778,0.051553194998953125,False
actual_margin,closing_total,5778,0.04766745700093837,False
actual_margin,plays_per_game_diff,5733,0.047462446922914125,False
actual_total,plays_per_game_sum,5733,0.04579858012979775,False
actual_margin,total_movement,5268,0.04373406044382588,False
actual_margin,neutral_site_flag,5778,-0.042934941028815406,False
actual_total,weather_temp,5312,0.04115108002611291,False
actual_total,neutral_site_flag,5778,-0.04021758483311602,False
actual_total,returning_production_sum,5680,0.03952820508433221,False
actual_total,weather_wind,5307,-0.03766969636743855,False
actual_margin,travel_distance_diff,5440,0.03456273553921642,False
actual_margin,travel_distance,5440,0.030800241307992107,False
actual_margin,returning_production_sum,5680,-0.02694969286497201,False
actual_margin,pace_diff,5733,0.025523871915081174,False
actual_margin,weather_wind,5307,-0.025005544541473194,False
actual_margin,off_epa_sum,5733,0.02450362499725614,False
actual_margin,def_epa_sum,5733,-0.022694699851015424,False
actual_margin,success_rate_sum,5733,0.021706557104183,False
actual_total,sp_plus_off_diff,5684,0.0214761517568016,False
actual_total,havoc_sum,5733,0.02141384361373298,False
actual_total,def_explosiveness_diff,5732,0.021074523946396067,False
actual_margin,def_success_rate_sum,5733,-0.019893696194770414,False
actual_total,success_rate_diff,5733,0.01944125303803904,False
actual_total,returning_production_diff,5680,-0.019177593328213425,False
actual_margin,spread_movement,5262,-0.019121808397173864,False
actual_margin,rest_abs,5376,0.01828435869855565,False
actual_total,sp_plus_diff,5684,0.018094576330741633,False
actual_margin,finishing_drives_sum,5733,0.01800297022208607,False
actual_margin,elo_sum,5778,0.017971367559193072,False
actual_margin,plays_per_game_sum,5733,-0.017883656370737445,False
actual_total,fpi_sum,5669,-0.016734215382529685,False
actual_total,off_epa_diff,5733,0.01639065627248478,False
actual_total,fpi_diff,5669,0.014123501188456053,False
actual_margin,talent_sum,5756,0.013838279932229644,False
actual_total,spread_movement,5262,-0.012691283332009407,False
actual_margin,rest_diff,5376,-0.01248577132400531,False
actual_margin,weather_precip,5312,0.012405320704479002,False
actual_total,fpi_home_win_prob,5776,-0.012045948577974972,False
actual_total,travel_distance,5440,-0.011169752412913373,False
actual_margin,def_explosiveness_sum,5732,0.011168368556223636,False
actual_total,elo_sum,5778,-0.010781472073685181,False
actual_total,def_success_rate_diff,5733,-0.009873643967372975,False
actual_total,pace_diff,5733,0.009341563904103543,False
actual_margin,pace_sum,5733,-0.009266654752087529,False
actual_total,rest_abs,5376,-0.008757892072853265,False
actual_total,talent_sum,5756,0.008746630121361655,False
actual_total,weather_precip,5312,-0.008421120444980515,False
actual_total,sp_plus_def_diff,5684,-0.008311054839537165,False
actual_total,travel_distance_diff,5440,-0.008188873969182055,False
actual_total,recruiting_rank_diff,5767,0.007945838655791113,False
actual_margin,sp_plus_off_sum,5684,0.007575834571582002,False
actual_total,explosiveness_diff,5733,-0.007175933392855912,False
actual_margin,fpi_sum,5669,0.006634668935190111,False
actual_total,talent_diff,5756,-0.005149414299524909,False
actual_margin,havoc_sum,5733,0.0045884228631213825,False
actual_margin,explosiveness_sum,5733,-0.002597175358469707,False
actual_total,closing_spread,5778,-0.002377393813350949,False
actual_total,havoc_diff,5733,0.0021862984924197653,False
actual_total,def_epa_diff,5733,-0.001413877688141429,False
actual_total,finishing_drives_diff,5733,0.0013265587994809702,False
actual_total,elo_diff,5778,0.0012449414824094662,False
actual_margin,sp_plus_def_sum,5684,-0.0010536331203476379,False
actual_total,rest_diff,5376,0.0006719022299016886,False
actual_total,plays_per_game_diff,5733,0.0005912784077010621,False
