feature,mae_increase
closing_total,1.6370074515786497
pace_sum,0.03809339216654392
finishing_drives_sum,0.03289945058335767
weather_temp,0.024516698165764426
talent_sum,0.02183644659289134
elo_sum,0.017604723106146875
def_explosiveness_sum,0.015731093391451102
sp_plus_def_sum,0.014125096983968627
success_rate_sum,0.009188625331797552
sp_plus_off_sum,0.005709149939412149
weather_wind,0.005321078871124672
travel_distance,0.004997395684891502
total_movement,0.004905497259039413
plays_per_game_sum,0.004684811016725787
returning_production_sum,0.0014464552151575354
fpi_sum,-0.001866363588113494
havoc_sum,-0.002641488440543292
weather_precip,-0.0028431860758393527
rest_abs,-0.0035296094852305367
explosiveness_sum,-0.003693753158262759
off_epa_sum,-0.004228361022212472
def_success_rate_sum,-0.004663674272728471
def_epa_sum,-0.02148758592437832
