effect,n,mean,sd,se,t,p,median,description,ci_low,ci_high
in_game_rotation,1600,4.8103125,16.461610919002556,0.4115402729750639,11.68855836447255,2.4053239906117657e-30,5.0,QB changed during the game,4.036332031250001,5.586121093749999
committee_game,1062,5.591572504708098,16.458592892293886,0.5050454287655834,11.071424838701834,4.889604216978135e-27,6.5,No QB took 70% of attempts,4.597128060263653,6.563441619585685
backup_start,1665,3.287837837837838,15.511580975539111,0.3801447048336162,8.6489113120144,1.202135089840863e-17,3.0,Not the team's season-primary QB,2.5278903903903904,4.018637387387387
qb_change,1509,2.1022200132538105,15.617353196493601,0.40203402727649434,5.22896041286583,1.9438686876652625e-07,1.75,Different QB than last game,1.338829522862823,2.8773401259111986
new_starter,1045,2.0729665071770333,15.457936336688253,0.4781821596302179,4.335097965135452,1.5978720259259717e-05,1.0,First career start for this team,1.1410227272727274,2.9905442583732054
inexperienced_starter,1684,1.3003266033254157,15.960997607756223,0.38894571291873387,3.3432084739216688,0.000846324508493545,1.0,Fewer than 3 career starts,0.5692027909738717,2.0491760688836105
planned_change,870,-0.9738505747126437,14.92205361990815,0.5059049979366258,-1.9249672936313567,0.05455959042473924,-1.5,New QB who took ~every snap (decided pre-kickoff),-2.0285560344827585,-0.0040517241379324455
first_year_player,826,0.862590799031477,15.923392514109931,0.5540456851715007,1.5568947148545493,0.1198789925683238,1.0,First season on any roster,-0.23959594430992734,1.9443780266343822
returning_starter,2335,-0.3630620985010707,15.344049917440076,0.31753862525773946,-1.143363577285695,0.2530049261316686,-0.5,Started for this team last season,-0.9899892933618843,0.24950481798715182
transfer_starter,2307,-0.047030775899436494,15.293601697718929,0.31840947163857997,-0.14770532942192172,0.8825882385485085,0.0,Previously on another team's roster,-0.6810874512353705,0.5300796488946681
