effect,n,mean,sd,se,t,p,median,description,ci_low,ci_high
prior_backup_start,1562,0.9649487836107554,15.626165933609274,0.39537746902417953,2.4405760550602933,0.014774398810031706,1.0,LAST GAME: not the team's season-primary qb,0.19349791933418695,1.7682738476312418
prior_qb_change,1369,-0.4408327246165084,15.375554652922613,0.4155555311600706,-1.0608274744553963,0.2889555631018404,-0.5,LAST GAME: different qb than last game,-1.2478223155588022,0.32652940102264416
prior_first_year_player,720,0.3440972222222222,15.352853178278016,0.5721670559200557,0.6013929300226963,0.5477678648047677,0.5,LAST GAME: first season on any roster,-0.8619184027777779,1.5229687499999998
prior_transfer_starter,2170,-0.16059907834101383,15.531905935597655,0.3334224856146942,-0.4816684095103396,0.6300901135233454,0.0,LAST GAME: previously on another team's roster,-0.8155587557603687,0.5330817972350229
prior_committee_game,1102,-0.18330308529945555,15.374793819512654,0.46314662453588906,-0.39577765568979434,0.6923457401550706,-0.5,LAST GAME: no qb took 70% of attempts,-1.0545088475499094,0.6901882940108889
prior_returning_starter,2223,0.11336032388663968,15.404096810885315,0.32671306960566987,0.34697211232921055,0.7286451271201271,0.0,LAST GAME: started for this team last season,-0.5294281376518218,0.7401287674313989
prior_new_starter,1122,0.10093582887700535,15.66562845288087,0.46768279507864774,0.2158211290625551,0.829166440116217,0.25,LAST GAME: first career start for this team,-0.8182263814616756,0.9953264260249555
prior_inexperienced_starter,1708,-0.05664519906323185,15.852372675276307,0.38357504131013215,-0.14767696790113222,0.8826151498409538,0.5,LAST GAME: fewer than 3 career starts,-0.7953966627634661,0.6851910128805618
prior_planned_change,770,-0.037337662337662336,15.326522565247899,0.5523295340752269,-0.06760033645526001,0.9461213594908656,0.5,LAST GAME: new qb who took ~every snap (decided pre-kickoff),-1.1345616883116882,1.031525974025974
prior_in_game_rotation,1779,0.0193929173693086,15.22536376842807,0.3609771432732131,0.053723394211224795,0.9571615792293172,0.5,LAST GAME: qb changed during the game,-0.6749718943226531,0.7447196458684651
