dimension,group,n,mean,sd,se,t,p,median
event_conference,Mid-American,136,4.259191176470588,15.457420850224613,1.3254629028829186,3.2133612847305866,0.0016408926372179767,5.0
event_conference,Big Ten,147,2.9710884353741496,14.651561379661507,1.208440415227985,2.4586139274509637,0.015116690103766095,2.0
event_conference,Pac-12,98,3.961734693877551,17.11575026895091,1.7289518686100949,2.29140831841802,0.024103044692324823,3.75
event_conference,Sun Belt,160,2.7328125,15.314166014489317,1.2106911267932348,2.2572334425531126,0.025355142750799184,2.5
event_conference,American Athletic,137,2.7445255474452557,16.141335408837538,1.3790473512315053,1.990160486508576,0.048578256955955426,0.5
event_conference,ACC,169,2.0502958579881656,15.255063071541493,1.1734663901185765,1.7472131074678563,0.08242767456174276,3.0
event_conference,FBS Independents,64,2.83203125,15.819295449132508,1.9774119311415634,1.4321908376293975,0.15703234892276693,2.25
event_conference,Mountain West,150,1.5016666666666667,16.428217271114207,1.3413583232602568,1.1195119459331122,0.26472322076700283,1.25
event_conference,Big 12,146,0.9794520547945206,14.97076193121558,1.2389890731138173,0.7905251757652467,0.4305121495043364,0.25
event_conference,SEC,141,0.8563829787234043,13.716883302630883,1.1551699624355856,0.7413480323863233,0.4597241912046853,1.0
event_conference,Conference USA,161,-0.38509316770186336,17.04082858600237,1.3430054339565207,-0.28673984331349367,0.7746825035332993,0.5
event_side,home,736,2.539741847826087,15.745829814014447,0.5803989872650975,4.375855064450791,1.384688621902285e-05,2.0
event_side,away,773,1.685640362225097,15.492742769045087,0.5572352265260149,3.0250068229424865,0.0025687393935620623,1.5
mismatch,3-7,390,3.2474358974358974,15.742484838298404,0.7971517065731273,4.073799090760639,5.6075563574410075e-05,2.75
mismatch,7-14,393,2.596055979643766,16.092193837922363,0.8117437996234657,3.1981223396445637,0.0014956336481094725,3.0
mismatch,pick'em,298,1.5906040268456376,14.510886855887232,0.8405931058555912,1.8922401525368848,0.05943142943370544,1.0
mismatch,14-24,290,1.4086206896551725,16.08890238946835,0.944772879289424,1.4909622413321333,0.13706206123332318,0.0
mismatch,24+,138,0.021739130434782608,15.07137756712592,1.2829608581546839,0.016944500135452744,0.9865055437842692,1.25
event_team_role,favourite,502,3.158366533864542,16.373824094881904,0.7307995341704151,4.321796041440884,1.8674283664185997e-05,3.5
event_team_role,underdog,1007,1.5757199602780536,15.207169062898698,0.47921857001026624,3.28810288016238,0.0010435836637332143,1.0
