features,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material
Wind only (dome-corrected),margin,True,1,5778,16.208543874965038,20.70548149564628,0.0010840996775295375,-0.015954765132488856,0.006134789003380189,0.012510997045348492,0.49035172665643495,False
Wind only (dome-corrected),total,True,1,5778,13.838846314339394,17.473689777146618,-0.0011837633585614071,0.024789207575077306,0.007097712006999155,0.009273789179987963,0.7653518825201898,False
Wind only (dome-corrected),residual_margin,True,1,5778,12.227794696899126,15.459759913341527,-0.0005955886741084715,-0.006308900516624887,-0.0034523639119336275,0.0017068817906103022,-2.0226145307339776,False
Wind only (dome-corrected),residual_total,True,1,5778,12.713477754542344,16.042481546844236,-0.0005848818143703305,-0.0012622001400593988,-0.008605826539575168,0.006211558021031696,-1.3854537799432485,False
Wind + wind squared,margin,True,2,5778,16.21390710473238,20.711986761267077,0.0004563205966264805,-0.018556298831311966,0.000771559236035626,0.012642003931064896,0.06103140295184467,False
Wind + wind squared,total,True,2,5778,13.840062432568361,17.47522914925162,-0.0013601728363441534,0.025839290394227544,0.005881593778031177,0.009261263373597528,0.6350746697042131,False
Wind + wind squared,residual_margin,True,2,5778,12.234017411029303,15.46767302525954,-0.0016201649030060938,-0.00871915417845177,-0.009675078042108513,0.0027028492018790957,-3.579584845274435,False
Wind + wind squared,residual_total,True,2,5778,12.712779990289317,16.042412918502368,-0.0005763210023466137,-0.0002572985106409512,-0.007908062286548664,0.0065021347387377035,-1.2162255327369456,False
Temperature only,margin,True,1,5778,16.204964675668318,20.67655664221728,0.0038730533558283264,-0.01178206971348251,0.009713988300102644,0.019368663842249927,0.5015311525471875,False
Temperature only,total,True,1,5778,13.840611635305741,17.475493137960324,-0.0013904270634439442,0.023999169647286104,0.0053323910406524915,0.009132366851710764,0.5839002229365738,False
Temperature only,residual_margin,True,1,5778,12.229830896153349,15.461630271088799,-0.0008377120872991028,-0.002518501297534905,-0.005488563166155567,0.0030953654409394096,-1.773155147874833,False
Temperature only,residual_total,True,1,5778,12.720621431039016,16.04608338752877,-0.0010342327333427992,-0.0031346383460528217,-0.015749503036245803,0.00554021385585674,-2.842760847507085,False
Precipitation only,margin,True,1,5778,16.219530217110464,20.71303263668394,0.0003553718495358238,-0.017282796505565582,-0.004851553142044346,0.012060481282106808,-0.4022686183545772,False
Precipitation only,total,True,1,5778,13.848382743205548,17.486332434444233,-0.002633051108214879,0.023701206911584113,-0.0024387168591549833,0.002695646288873736,-0.9046872615375291,False
Precipitation only,residual_margin,True,1,5778,12.23234448110611,15.467139837696278,-0.0015511122136326883,-0.009567295872116192,-0.008002148118918835,0.00288496357101948,-2.773743210938036,False
Precipitation only,residual_total,True,1,5778,12.722456800913559,16.049806953884957,-0.0014988756972875716,-0.0031016577422734552,-0.017584872910789872,0.005971417046564844,-2.944840859994172,False
All weather,margin,True,5,5778,16.206339648135632,20.68908055613158,0.002665967808844316,-0.01808440874476662,0.008339015832787414,0.021238217958626973,0.3926419744364711,False
All weather,total,True,5,5778,13.844143239766051,17.47746602785794,-0.0016165430947041592,0.02037049007125862,0.0018007865803400134,0.01353936143458563,0.13300380442906215,False
All weather,residual_margin,True,5,5778,12.242631021889329,15.476573656360483,-0.002773229955541412,-0.006232076109906282,-0.018288688902135846,0.005771817589015522,-3.168618657828249,False
All weather,residual_total,True,5,5778,12.720313498535837,16.057007201805394,-0.002397660053075512,-0.00585405646219977,-0.01544157053306766,0.007663428755679354,-2.0149688899533302,False
