captured_at,conference,report_id,publish_date,posted_time,time_zone,report_type,team,opponent,number,player,status,exempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,California,Clemson,17,Alonzo Esparza,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,California,Clemson,14,Dominic Ingrassia,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,California,Clemson,2,EJ Caminong,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,California,Clemson,11,Jackson Brousseau,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,California,Clemson,3,Jaron-Keawe Sagapolutele,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,California,Clemson,18,Nainoa Lopes,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,Clemson,California,5,Brock Bradley,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,Clemson,California,17,Christopher Vizzina,Probable,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,Clemson,California,9,Colson Brown,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,Clemson,California,2,Tait Reynolds,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2814,2026-09-23,23:00:00,ET,Update 1,Clemson,California,14,Trent Pearman,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Georgia Tech,Stanford,15,Alberto Mendoza,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Georgia Tech,Stanford,18,Ben Guthrie,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Georgia Tech,Stanford,12,Cole Bergeron,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Georgia Tech,Stanford,9,Grady Adamson,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Georgia Tech,Stanford,14,Graham Knowles,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Stanford,Georgia Tech,17,Charlie Mirer,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Stanford,Georgia Tech,8,Davis Warren,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Stanford,Georgia Tech,27,Devin Mignery,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Stanford,Georgia Tech,10,Dylan Rizk,Available,NonExempt
2026-09-25T01:04:09+00:00,ACC,2917,2026-09-23,23:00:00,ET,Initial,Stanford,Georgia Tech,9,Michael Mitchell Jr.,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,California,Clemson,17,Alonzo Esparza,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,California,Clemson,14,Dominic Ingrassia,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,California,Clemson,2,EJ Caminong,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,California,Clemson,11,Jackson Brousseau,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,California,Clemson,3,Jaron-Keawe Sagapolutele,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,California,Clemson,18,Nainoa Lopes,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,Clemson,California,5,Brock Bradley,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,Clemson,California,17,Christopher Vizzina,Probable,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,Clemson,California,9,Colson Brown,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,Clemson,California,2,Tait Reynolds,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2815,2026-09-24,23:00:00,ET,Update 2,Clemson,California,14,Trent Pearman,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Louisville,Wake Forest,10,Briggs Cherry,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Louisville,Wake Forest,11,Davin Wydner,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Louisville,Wake Forest,3,Lincoln Kienholz,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Louisville,Wake Forest,19,Mason Fields,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Louisville,Wake Forest,17,Ryan Zimmerman,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Wake Forest,Louisville,13,Billy Johnson,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Wake Forest,Louisville,15,Gannon Jones,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Wake Forest,Louisville,3,Gio Lopez,Probable,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Wake Forest,Louisville,17,Grant Lawless,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2826,2026-09-24,20:00:00,ET,Update 1,Wake Forest,Louisville,6,Steele Pizzella,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Boston College,Virginia Tech,18,Anthony Coellner,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Boston College,Virginia Tech,13,Enzo Arjona,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Boston College,Virginia Tech,11,Femi Babalola,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Boston College,Virginia Tech,15,Grayson Wilson,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Boston College,Virginia Tech,7,Jake Coniglio,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Boston College,Virginia Tech,10,Mason McKenzie,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Virginia Tech,Boston College,22,Bryce Baker,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Virginia Tech,Boston College,17,Ethan Grunkemeyer,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Virginia Tech,Boston College,12,Kelden Ryan,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2834,2026-09-24,20:00:00,ET,Update 1,Virginia Tech,Boston College,14,Troy Huhn,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Georgia Tech,Stanford,15,Alberto Mendoza,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Georgia Tech,Stanford,18,Ben Guthrie,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Georgia Tech,Stanford,12,Cole Bergeron,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Georgia Tech,Stanford,9,Grady Adamson,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Georgia Tech,Stanford,14,Graham Knowles,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Stanford,Georgia Tech,17,Charlie Mirer,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Stanford,Georgia Tech,8,Davis Warren,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Stanford,Georgia Tech,27,Devin Mignery,Available,NonExempt
2026-09-25T21:20:00+00:00,ACC,2918,2026-09-24,23:00:00,ET,Update 1,Stanford,Georgia Tech,10,Dylan Rizk,Available,NonExempt
