sport,game_id,season,week,kickoff,market,first_letter,first_score,first_at,letter,score,line,atlas,claimed,home_side,published_at
ncaaf,401856696,2026,4,2026-09-26T23:00:00+00:00,margin,B,87.506,2026-09-26T02:37:46.482013+00:00,B,87.506,12.500,11.488,0.525,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401856697,2026,4,2026-09-27T00:00:00+00:00,margin,B,81.308,2026-09-26T02:37:46.482013+00:00,B,81.308,7.000,7.816,0.520,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856698,2026,4,2026-09-26T20:15:00+00:00,margin,C,69.217,2026-09-26T02:37:46.482013+00:00,C,69.217,9.500,4.748,0.615,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401856699,2026,4,2026-09-26T19:30:00+00:00,margin,C,76.173,2026-09-26T02:37:46.482013+00:00,C,76.173,3.500,5.253,0.543,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856700,2026,4,2026-09-26T19:30:00+00:00,margin,C,73.658,2026-09-26T02:37:46.482013+00:00,C,73.658,13.500,11.253,0.555,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401856702,2026,4,2026-09-26T23:30:00+00:00,margin,D,54.632,2026-09-26T02:37:46.482013+00:00,D,54.632,8.500,2.093,0.654,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401856703,2026,4,2026-09-26T23:45:00+00:00,margin,C,77.433,2026-09-26T02:37:46.482013+00:00,C,77.433,6.000,4.487,0.537,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401856704,2026,4,2026-09-26T16:00:00+00:00,margin,B,86.360,2026-09-26T02:37:46.482013+00:00,B,86.360,-5.500,-5.571,0.502,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401856804,2026,4,2026-09-26T23:30:00+00:00,margin,D,61.486,2026-09-26T02:37:46.482013+00:00,D,61.486,-10.500,-5.658,0.616,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856805,2026,4,2026-09-26T16:00:00+00:00,margin,C,72.893,2026-09-26T02:37:46.482013+00:00,C,72.893,34.500,32.099,0.558,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401856806,2026,4,2026-09-26T20:00:00+00:00,margin,C,75.092,2026-09-26T02:37:46.482013+00:00,C,75.092,-17.500,-15.537,0.548,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856813,2026,4,2026-09-26T16:00:00+00:00,margin,B,79.135,2026-09-26T02:37:46.482013+00:00,B,79.135,9.500,12.122,0.563,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856814,2026,4,2026-09-26T23:00:00+00:00,margin,B,87.951,2026-09-26T02:37:46.482013+00:00,B,87.951,-6.500,-5.566,0.523,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856815,2026,4,2026-09-26T19:30:00+00:00,margin,C,76.931,2026-09-26T02:37:46.482013+00:00,C,76.931,-3.000,0.079,0.574,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856816,2026,4,2026-09-26T19:30:00+00:00,margin,C,67.325,2026-09-26T02:37:46.482013+00:00,C,67.325,-7.500,-3.938,0.586,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401856881,2026,4,2026-09-26T23:00:00+00:00,margin,B,81.884,2026-09-26T02:37:46.482013+00:00,B,81.884,1.500,2.219,0.517,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401858238,2026,4,2026-09-26T22:30:00+00:00,margin,F,36.762,2026-09-26T02:37:46.482013+00:00,F,36.762,41.500,28.315,0.789,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858239,2026,4,2026-09-26T22:00:00+00:00,margin,C,68.048,2026-09-26T02:37:46.482013+00:00,C,68.048,19.500,14.486,0.620,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858240,2026,4,2026-09-27T02:30:00+00:00,margin,B,79.777,2026-09-26T02:37:46.482013+00:00,B,79.777,-3.500,-5.991,0.561,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858241,2026,4,2026-09-27T01:00:00+00:00,margin,D,61.934,2026-09-26T02:37:46.482013+00:00,C,66.283,33.500,28.087,0.629,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858242,2026,4,2026-09-26T16:00:00+00:00,margin,C,72.347,2026-09-26T02:37:46.482013+00:00,C,72.347,-14.000,-9.939,0.598,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401858243,2026,4,2026-09-26T16:00:00+00:00,margin,B,84.698,2026-09-26T02:37:46.482013+00:00,B,84.698,12.500,10.975,0.537,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858462,2026,4,2026-09-26T17:30:00+00:00,margin,B,83.278,2026-09-26T02:37:46.482013+00:00,B,83.278,-1.500,-3.296,0.544,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858463,2026,4,2026-09-26T19:30:00+00:00,margin,B,82.605,2026-09-26T02:37:46.482013+00:00,B,82.605,5.500,3.573,0.547,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858464,2026,4,2026-09-26T21:00:00+00:00,margin,B,80.952,2026-09-26T02:37:46.482013+00:00,B,80.952,-5.500,-3.246,0.555,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401858465,2026,4,2026-09-26T16:00:00+00:00,margin,C,72.182,2026-09-26T02:37:46.482013+00:00,C,72.182,26.500,22.403,0.599,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858466,2026,4,2026-09-26T21:00:00+00:00,margin,C,71.699,2026-09-26T02:37:46.482013+00:00,C,71.699,10.000,12.644,0.564,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401858467,2026,4,2026-09-26T18:00:00+00:00,margin,C,66.010,2026-09-26T02:37:46.482013+00:00,C,66.010,-27.500,-22.025,0.632,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401858469,2026,4,2026-09-26T23:30:00+00:00,margin,C,67.629,2026-09-26T02:37:46.482013+00:00,C,67.629,-3.000,0.497,0.585,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401858470,2026,4,2026-09-27T03:00:00+00:00,margin,B,83.579,2026-09-26T02:37:46.482013+00:00,B,83.579,10.500,8.762,0.542,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401860891,2026,4,2026-09-27T02:00:00+00:00,margin,C,77.596,2026-09-26T02:37:46.482013+00:00,C,77.596,13.500,16.440,0.572,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401860893,2026,4,2026-09-26T16:00:00+00:00,margin,C,68.691,2026-09-26T02:37:46.482013+00:00,C,68.691,3.000,-0.271,0.579,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401860894,2026,4,2026-09-26T23:30:00+00:00,margin,C,74.990,2026-09-26T02:37:46.482013+00:00,C,74.990,3.000,6.490,0.584,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401860895,2026,4,2026-09-27T01:00:00+00:00,margin,C,74.965,2026-09-26T02:37:46.482013+00:00,C,74.965,-10.500,-12.488,0.548,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401860896,2026,4,2026-09-26T16:00:00+00:00,margin,C,71.802,2026-09-26T02:37:46.482013+00:00,C,71.802,14.000,11.377,0.563,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401860897,2026,4,2026-09-26T19:30:00+00:00,margin,C,68.569,2026-09-26T02:37:46.482013+00:00,C,68.569,-7.500,-2.603,0.617,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401861970,2026,4,2026-09-26T19:30:00+00:00,margin,A,93.152,2026-09-26T02:37:46.482013+00:00,A,93.152,3.500,3.633,0.503,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401862780,2026,4,2026-09-26T22:30:00+00:00,margin,C,73.698,2026-09-26T02:37:46.482013+00:00,C,73.698,-10.000,-7.761,0.554,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401862782,2026,4,2026-09-27T00:00:00+00:00,margin,D,56.698,2026-09-26T02:37:46.482013+00:00,D,56.698,-11.500,-5.571,0.642,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401862784,2026,4,2026-09-26T23:00:00+00:00,margin,C,72.104,2026-09-26T02:37:46.482013+00:00,C,72.104,17.500,13.386,0.600,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401862785,2026,4,2026-09-26T21:00:00+00:00,margin,C,70.961,2026-09-26T02:37:46.482013+00:00,C,70.961,-17.500,-14.704,0.568,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401864509,2026,4,2026-09-27T02:30:00+00:00,margin,F,35.760,2026-09-26T02:37:46.482013+00:00,F,35.760,-6.000,4.966,0.746,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401864510,2026,4,2026-09-26T19:00:00+00:00,margin,B,86.162,2026-09-26T02:37:46.482013+00:00,B,86.162,-2.500,-2.593,0.502,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401864511,2026,4,2026-09-26T18:00:00+00:00,margin,C,70.383,2026-09-26T02:37:46.482013+00:00,C,70.383,10.500,7.584,0.571,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401864512,2026,4,2026-09-26T16:00:00+00:00,margin,D,54.796,2026-09-26T02:37:46.482013+00:00,D,54.796,-13.500,-5.400,0.690,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401864572,2026,4,2026-09-26T23:30:00+00:00,margin,B,79.287,2026-09-26T02:37:46.482013+00:00,B,79.287,14.000,11.409,0.563,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401864576,2026,4,2026-09-26T16:45:00+00:00,margin,C,66.653,2026-09-26T02:37:46.482013+00:00,C,66.653,20.500,15.171,0.627,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401864579,2026,4,2026-09-26T19:30:00+00:00,margin,B,86.726,2026-09-26T02:37:46.482013+00:00,B,86.726,-11.500,-12.651,0.528,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401866425,2026,4,2026-09-26T16:00:00+00:00,margin,B,79.715,2026-09-26T02:37:46.482013+00:00,B,79.715,3.000,1.906,0.527,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401866429,2026,4,2026-09-27T01:00:00+00:00,margin,F,23.625,2026-09-26T02:37:46.482013+00:00,F,23.625,-4.500,12.242,0.845,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401869931,2026,4,2026-09-26T23:00:00+00:00,margin,B,88.286,2026-09-26T02:37:46.482013+00:00,B,88.286,6.500,5.624,0.521,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401869961,2026,4,2026-09-26T22:00:00+00:00,margin,B,86.588,2026-09-26T02:37:46.482013+00:00,B,86.588,-6.000,-5.963,0.501,True,2026-09-26T03:28:09.354412+00:00
ncaaf,401871048,2026,4,2026-09-26T23:00:00+00:00,margin,B,82.217,2026-09-26T02:37:46.482013+00:00,B,82.217,7.000,6.336,0.516,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858245,2026,5,2026-10-02T23:00:00+00:00,margin,C,74.495,2026-09-26T02:37:46.482013+00:00,C,74.495,6.000,1.204,0.615,False,2026-09-26T03:28:09.354412+00:00
ncaaf,401858476,2026,5,2026-10-03T00:00:00+00:00,margin,B,80.194,2026-09-26T02:37:46.482013+00:00,B,80.194,-7.000,-3.452,0.585,True,2026-09-26T03:28:09.354412+00:00
nfl,401872949,2026,3,2026-09-27T17:00:00+00:00,margin,B,80.091,2026-09-26T02:37:46.482013+00:00,B,80.091,-2.500,-0.901,0.548,True,2026-09-26T03:28:09.354412+00:00
nfl,401872950,2026,3,2026-09-27T17:00:00+00:00,margin,C,78.346,2026-09-26T02:37:46.482013+00:00,C,78.346,-3.500,-2.840,0.520,True,2026-09-26T03:28:09.354412+00:00
nfl,401872951,2026,3,2026-09-27T17:00:00+00:00,margin,B,79.222,2026-09-26T02:37:46.482013+00:00,B,79.222,-1.500,0.264,0.553,True,2026-09-26T03:28:09.354412+00:00
nfl,401872952,2026,3,2026-09-27T17:00:00+00:00,margin,C,66.230,2026-09-26T02:37:46.482013+00:00,C,66.230,-10.000,-7.070,0.587,True,2026-09-26T03:28:09.354412+00:00
nfl,401872953,2026,3,2026-09-27T17:00:00+00:00,margin,C,66.212,2026-09-26T02:37:46.482013+00:00,C,66.212,7.000,9.934,0.588,True,2026-09-26T03:28:09.354412+00:00
nfl,401872954,2026,3,2026-09-27T17:00:00+00:00,margin,C,66.111,2026-09-26T02:37:46.482013+00:00,C,66.111,6.500,9.456,0.588,True,2026-09-26T03:28:09.354412+00:00
nfl,401872955,2026,3,2026-09-27T17:00:00+00:00,margin,C,70.560,2026-09-26T02:37:46.482013+00:00,C,70.560,-7.500,-9.525,0.561,False,2026-09-26T03:28:09.354412+00:00
nfl,401872956,2026,3,2026-09-27T17:00:00+00:00,margin,C,68.071,2026-09-26T02:37:46.482013+00:00,C,68.071,2.500,6.680,0.623,True,2026-09-26T03:28:09.354412+00:00
nfl,401872957,2026,3,2026-09-27T17:00:00+00:00,margin,C,75.177,2026-09-26T02:37:46.482013+00:00,C,75.177,3.000,1.835,0.535,False,2026-09-26T03:28:09.354412+00:00
nfl,401872958,2026,3,2026-09-27T20:05:00+00:00,margin,D,65.190,2026-09-26T02:37:46.482013+00:00,D,65.190,8.500,11.659,0.594,True,2026-09-26T03:28:09.354412+00:00
nfl,401872959,2026,3,2026-09-27T20:05:00+00:00,margin,D,64.034,2026-09-26T02:37:46.482013+00:00,D,64.034,-1.500,-4.918,0.601,False,2026-09-26T03:28:09.354412+00:00
nfl,401872960,2026,3,2026-09-27T20:25:00+00:00,margin,B,89.670,2026-09-26T02:37:46.482013+00:00,B,89.670,-3.500,-3.328,0.505,True,2026-09-26T03:28:09.354412+00:00
nfl,401872961,2026,3,2026-09-27T20:25:00+00:00,margin,B,83.474,2026-09-26T02:37:46.482013+00:00,B,83.474,3.000,1.998,0.530,False,2026-09-26T03:28:09.354412+00:00
nfl,401872962,2026,3,2026-09-28T00:20:00+00:00,margin,B,88.570,2026-09-26T02:37:46.482013+00:00,B,88.570,-2.500,-2.785,0.509,False,2026-09-26T03:28:09.354412+00:00
nfl,401872963,2026,3,2026-09-29T00:15:00+00:00,margin,F,50.533,2026-09-26T02:37:46.482013+00:00,F,50.533,-4.500,2.231,0.695,True,2026-09-26T03:28:09.354412+00:00
nfl,401872964,2026,4,2026-10-02T00:15:00+00:00,margin,C,72.076,2026-09-26T02:37:46.482013+00:00,C,72.076,-3.000,0.683,0.608,True,2026-09-26T03:28:09.354412+00:00
