draft_group_id,sport,label,game_count,starts_at,captured_at,game_type
153839,cfb,LIB @ C-C,1,2026-09-24T23:30:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153768,nfl,Thu-Mon,16,2026-09-25T00:15:00+00:00,2026-09-24T21:46:29+00:00,Classic
153775,nfl,ATL @ GB,1,2026-09-25T00:15:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153841,cfb,ARMY @ TEMP,1,2026-09-25T20:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153843,cfb,Main,3,2026-09-25T23:00:00+00:00,2026-09-24T21:46:29+00:00,Classic
153947,cfb,NAVY @ UAB,1,2026-09-25T23:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153948,cfb,Night,2,2026-09-26T00:00:00+00:00,2026-09-24T21:46:29+00:00,Classic
153846,cfb,CLEM @ CAL,1,2026-09-26T02:30:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153831,cfb,Main,12,2026-09-26T16:00:00+00:00,2026-09-24T21:46:29+00:00,Classic
153949,cfb,TEX @ TENN,1,2026-09-26T16:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153950,cfb,MISS @ UF,1,2026-09-26T19:30:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153967,cfb,Afternoon,6,2026-09-26T19:30:00+00:00,2026-09-24T21:46:29+00:00,Classic
153951,cfb,Night,7,2026-09-26T23:00:00+00:00,2026-09-24T21:46:29+00:00,Classic
153952,cfb,TA&M @ LSU,1,2026-09-26T23:30:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153953,cfb,ORE @ USC,1,2026-09-26T23:30:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153954,cfb,Late Night,3,2026-09-27T02:30:00+00:00,2026-09-24T21:46:29+00:00,Classic
153955,cfb,MINN @ UW,1,2026-09-27T03:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153769,nfl,Main,13,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Classic
153770,nfl,Early Only,9,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Classic
153771,nfl,Sun-Mon,15,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Classic
153776,nfl,NE @ JAX,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153777,nfl,LAC @ BUF,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153778,nfl,CIN @ PIT,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153779,nfl,HOU @ IND,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153780,nfl,KC @ MIA,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153781,nfl,SEA @ WAS,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153782,nfl,TEN @ NYG,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153783,nfl,NYJ @ DET,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153784,nfl,CAR @ CLE,1,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153803,nfl,Tiers,13,2026-09-27T17:00:00+00:00,2026-09-24T21:46:29+00:00,Tiers
153772,nfl,Afternoon Only,4,2026-09-27T20:05:00+00:00,2026-09-24T21:46:29+00:00,Classic
153785,nfl,ARI @ SF,1,2026-09-27T20:05:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153786,nfl,MIN @ TB,1,2026-09-27T20:05:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153804,nfl,Tiers,4,2026-09-27T20:05:00+00:00,2026-09-24T21:46:29+00:00,Tiers
153773,nfl,Afternoon Turbo,2,2026-09-27T20:25:00+00:00,2026-09-24T21:46:29+00:00,Classic
153787,nfl,LV @ NO,1,2026-09-27T20:25:00+00:00,2026-09-24T21:46:29+00:00,Showdown
153788,nfl,BAL vs DAL,1,2026-09-27T20:25:00+00:00,2026-09-24T21:46:29+00:00,Showdown
