sport,market,sigma,point,factor
ncaaf,margin,15.443,-80,1.0
ncaaf,margin,15.443,-79,1.0
ncaaf,margin,15.443,-78,1.0
ncaaf,margin,15.443,-77,1.0
ncaaf,margin,15.443,-76,1.0
ncaaf,margin,15.443,-75,1.0
ncaaf,margin,15.443,-74,1.0
ncaaf,margin,15.443,-73,1.0
ncaaf,margin,15.443,-72,1.0
ncaaf,margin,15.443,-71,1.0
ncaaf,margin,15.443,-70,1.0
ncaaf,margin,15.443,-69,1.0
ncaaf,margin,15.443,-68,1.0
ncaaf,margin,15.443,-67,1.0
ncaaf,margin,15.443,-66,1.0
ncaaf,margin,15.443,-65,1.0
ncaaf,margin,15.443,-64,1.0
ncaaf,margin,15.443,-63,1.0
ncaaf,margin,15.443,-62,1.0
ncaaf,margin,15.443,-61,1.0
ncaaf,margin,15.443,-60,1.0
ncaaf,margin,15.443,-59,1.0
ncaaf,margin,15.443,-58,1.0
ncaaf,margin,15.443,-57,1.0
ncaaf,margin,15.443,-56,1.0
ncaaf,margin,15.443,-55,1.0
ncaaf,margin,15.443,-54,1.0
ncaaf,margin,15.443,-53,1.0
ncaaf,margin,15.443,-52,1.0
ncaaf,margin,15.443,-51,1.0
ncaaf,margin,15.443,-50,1.0
ncaaf,margin,15.443,-49,1.0
ncaaf,margin,15.443,-48,1.0
ncaaf,margin,15.443,-47,1.0
ncaaf,margin,15.443,-46,1.0
ncaaf,margin,15.443,-45,1.0
ncaaf,margin,15.443,-44,1.0
ncaaf,margin,15.443,-43,1.0
ncaaf,margin,15.443,-42,1.0
ncaaf,margin,15.443,-41,1.0
ncaaf,margin,15.443,-40,1.0
ncaaf,margin,15.443,-39,1.0
ncaaf,margin,15.443,-38,1.0
ncaaf,margin,15.443,-37,1.0
ncaaf,margin,15.443,-36,1.0
ncaaf,margin,15.443,-35,1.0
ncaaf,margin,15.443,-34,1.0
ncaaf,margin,15.443,-33,1.0
ncaaf,margin,15.443,-32,1.0
ncaaf,margin,15.443,-31,1.0
ncaaf,margin,15.443,-30,1.0
ncaaf,margin,15.443,-29,1.0
ncaaf,margin,15.443,-28,1.4438635592932942
ncaaf,margin,15.443,-27,0.9964142822178336
ncaaf,margin,15.443,-26,0.6876042889899598
ncaaf,margin,15.443,-25,1.0589615350757349
ncaaf,margin,15.443,-24,1.609210463334259
ncaaf,margin,15.443,-23,0.5377963027121363
ncaaf,margin,15.443,-22,0.5246592263665999
ncaaf,margin,15.443,-21,1.5560024691280279
ncaaf,margin,15.443,-20,0.7691776181368104
ncaaf,margin,15.443,-19,0.6423557984146765
ncaaf,margin,15.443,-18,1.0088839746056457
ncaaf,margin,15.443,-17,1.3687652963556936
ncaaf,margin,15.443,-16,0.5067802709985971
ncaaf,margin,15.443,-15,0.49750867696909995
ncaaf,margin,15.443,-14,1.0710572549526047
ncaaf,margin,15.443,-13,0.6595457483163633
ncaaf,margin,15.443,-12,0.4634731648251327
ncaaf,margin,15.443,-11,0.599648673750835
ncaaf,margin,15.443,-10,1.3181266653452548
ncaaf,margin,15.443,-9,0.3522966113618995
ncaaf,margin,15.443,-8,0.7485184557790637
ncaaf,margin,15.443,-7,2.301064591712902
ncaaf,margin,15.443,-6,0.8435907887452957
ncaaf,margin,15.443,-5,0.636553249211911
ncaaf,margin,15.443,-4,0.85865876941223
ncaaf,margin,15.443,-3,2.5717928461499526
ncaaf,margin,15.443,-2,0.6906610066921087
ncaaf,margin,15.443,-1,0.9350993842731092
ncaaf,margin,15.443,0,0.0
ncaaf,margin,15.443,1,0.8466193217515563
ncaaf,margin,15.443,2,0.8704488769826613
ncaaf,margin,15.443,3,2.853338199293384
ncaaf,margin,15.443,4,1.0522778936624415
ncaaf,margin,15.443,5,0.651590554081141
ncaaf,margin,15.443,6,0.8949863843311313
ncaaf,margin,15.443,7,2.426901347146415
ncaaf,margin,15.443,8,0.8172037240491702
ncaaf,margin,15.443,9,0.4089828807539988
ncaaf,margin,15.443,10,1.4094007971912752
ncaaf,margin,15.443,11,0.7561879449145601
ncaaf,margin,15.443,12,0.47065140996202426
ncaaf,margin,15.443,13,0.5219534463413359
ncaaf,margin,15.443,14,1.5935113141083666
ncaaf,margin,15.443,15,0.656558368673784
ncaaf,margin,15.443,16,0.48730630492385085
ncaaf,margin,15.443,17,1.39341583484073
ncaaf,margin,15.443,18,0.8499284831636091
ncaaf,margin,15.443,19,0.7214063247859331
ncaaf,margin,15.443,20,0.5711618510395283
ncaaf,margin,15.443,21,1.7164893644720052
ncaaf,margin,15.443,22,0.7845989914792117
ncaaf,margin,15.443,23,0.7190082162171146
ncaaf,margin,15.443,24,1.3850020006387802
ncaaf,margin,15.443,25,0.8686080813909027
ncaaf,margin,15.443,26,0.564457061300104
ncaaf,margin,15.443,27,0.8743747999808581
ncaaf,margin,15.443,28,1.9749894111900523
ncaaf,margin,15.443,29,1.0
ncaaf,margin,15.443,30,1.0
ncaaf,margin,15.443,31,1.0
ncaaf,margin,15.443,32,1.0
ncaaf,margin,15.443,33,1.0
ncaaf,margin,15.443,34,1.0
ncaaf,margin,15.443,35,1.0
ncaaf,margin,15.443,36,1.0
ncaaf,margin,15.443,37,1.0
ncaaf,margin,15.443,38,1.0
ncaaf,margin,15.443,39,1.0
ncaaf,margin,15.443,40,1.0
ncaaf,margin,15.443,41,1.0
ncaaf,margin,15.443,42,1.0
ncaaf,margin,15.443,43,1.0
ncaaf,margin,15.443,44,1.0
ncaaf,margin,15.443,45,1.0
ncaaf,margin,15.443,46,1.0
ncaaf,margin,15.443,47,1.0
ncaaf,margin,15.443,48,1.0
ncaaf,margin,15.443,49,1.0
ncaaf,margin,15.443,50,1.0
ncaaf,margin,15.443,51,1.0
ncaaf,margin,15.443,52,1.0
ncaaf,margin,15.443,53,1.0
ncaaf,margin,15.443,54,1.0
ncaaf,margin,15.443,55,1.0
ncaaf,margin,15.443,56,1.0
ncaaf,margin,15.443,57,1.0
ncaaf,margin,15.443,58,1.0
ncaaf,margin,15.443,59,1.0
ncaaf,margin,15.443,60,1.0
ncaaf,margin,15.443,61,1.0
ncaaf,margin,15.443,62,1.0
ncaaf,margin,15.443,63,1.0
ncaaf,margin,15.443,64,1.0
ncaaf,margin,15.443,65,1.0
ncaaf,margin,15.443,66,1.0
ncaaf,margin,15.443,67,1.0
ncaaf,margin,15.443,68,1.0
ncaaf,margin,15.443,69,1.0
ncaaf,margin,15.443,70,1.0
ncaaf,margin,15.443,71,1.0
ncaaf,margin,15.443,72,1.0
ncaaf,margin,15.443,73,1.0
ncaaf,margin,15.443,74,1.0
ncaaf,margin,15.443,75,1.0
ncaaf,margin,15.443,76,1.0
ncaaf,margin,15.443,77,1.0
ncaaf,margin,15.443,78,1.0
ncaaf,margin,15.443,79,1.0
ncaaf,margin,15.443,80,1.0
ncaaf,total,16.000,,
nfl,margin,12.982,-80,1.0
nfl,margin,12.982,-79,1.0
nfl,margin,12.982,-78,1.0
nfl,margin,12.982,-77,1.0
nfl,margin,12.982,-76,1.0
nfl,margin,12.982,-75,1.0
nfl,margin,12.982,-74,1.0
nfl,margin,12.982,-73,1.0
nfl,margin,12.982,-72,1.0
nfl,margin,12.982,-71,1.0
nfl,margin,12.982,-70,1.0
nfl,margin,12.982,-69,1.0
nfl,margin,12.982,-68,1.0
nfl,margin,12.982,-67,1.0
nfl,margin,12.982,-66,1.0
nfl,margin,12.982,-65,1.0
nfl,margin,12.982,-64,1.0
nfl,margin,12.982,-63,1.0
nfl,margin,12.982,-62,1.0
nfl,margin,12.982,-61,1.0
nfl,margin,12.982,-60,1.0
nfl,margin,12.982,-59,1.0
nfl,margin,12.982,-58,1.0
nfl,margin,12.982,-57,1.0
nfl,margin,12.982,-56,1.0
nfl,margin,12.982,-55,1.0
nfl,margin,12.982,-54,1.0
nfl,margin,12.982,-53,1.0
nfl,margin,12.982,-52,1.0
nfl,margin,12.982,-51,1.0
nfl,margin,12.982,-50,1.0
nfl,margin,12.982,-49,1.0
nfl,margin,12.982,-48,1.0
nfl,margin,12.982,-47,1.0
nfl,margin,12.982,-46,1.0
nfl,margin,12.982,-45,1.0
nfl,margin,12.982,-44,1.0
nfl,margin,12.982,-43,1.0
nfl,margin,12.982,-42,1.0
nfl,margin,12.982,-41,1.0
nfl,margin,12.982,-40,1.0
nfl,margin,12.982,-39,1.0
nfl,margin,12.982,-38,1.0
nfl,margin,12.982,-37,1.0
nfl,margin,12.982,-36,1.0
nfl,margin,12.982,-35,1.0
nfl,margin,12.982,-34,1.0
nfl,margin,12.982,-33,1.0
nfl,margin,12.982,-32,1.0
nfl,margin,12.982,-31,1.0
nfl,margin,12.982,-30,1.0
nfl,margin,12.982,-29,1.0
nfl,margin,12.982,-28,1.8986558214375537
nfl,margin,12.982,-27,0.826578195748923
nfl,margin,12.982,-26,0.5958159604976063
nfl,margin,12.982,-25,0.9376036492951506
nfl,margin,12.982,-24,1.6016886574029283
nfl,margin,12.982,-23,0.969642548254581
nfl,margin,12.982,-22,0.5376599255543798
nfl,margin,12.982,-21,1.182383386088563
nfl,margin,12.982,-20,0.9161563667138833
nfl,margin,12.982,-19,0.5412819086651947
nfl,margin,12.982,-18,0.8161635709687466
nfl,margin,12.982,-17,1.3143923635938382
nfl,margin,12.982,-16,0.9102770015793826
nfl,margin,12.982,-15,0.5156242668228258
nfl,margin,12.982,-14,1.5746449763493562
nfl,margin,12.982,-13,0.6690458302018973
nfl,margin,12.982,-12,0.3966140420490347
nfl,margin,12.982,-11,0.5038660603952441
nfl,margin,12.982,-10,1.0976145286396604
nfl,margin,12.982,-9,0.2711718648899566
nfl,margin,12.982,-8,0.7951307915249193
nfl,margin,12.982,-7,1.8813522732248007
nfl,margin,12.982,-6,1.271365084406707
nfl,margin,12.982,-5,0.8004586342398768
nfl,margin,12.982,-4,1.0049927830439058
nfl,margin,12.982,-3,2.580406573758321
nfl,margin,12.982,-2,0.8108651628093452
nfl,margin,12.982,-1,0.8148290836898872
nfl,margin,12.982,0,0.11496138818778834
nfl,margin,12.982,1,0.7986407635789649
nfl,margin,12.982,2,0.8227317730655063
nfl,margin,12.982,3,2.745459610234724
nfl,margin,12.982,4,0.8656816645353719
nfl,margin,12.982,5,0.7330435036593803
nfl,margin,12.982,6,1.3727776646255094
nfl,margin,12.982,7,1.7002259499894867
nfl,margin,12.982,8,0.9350615982561378
nfl,margin,12.982,9,0.38402991019269317
nfl,margin,12.982,10,1.2050300471510142
nfl,margin,12.982,11,0.5534331922236806
nfl,margin,12.982,12,0.5015940422303591
nfl,margin,12.982,13,0.5865719620167777
nfl,margin,12.982,14,1.3648668486865707
nfl,margin,12.982,15,0.5143334542734993
nfl,margin,12.982,16,0.7184069660744565
nfl,margin,12.982,17,1.149140395898988
nfl,margin,12.982,18,0.9949212246279036
nfl,margin,12.982,19,0.4243369966266205
nfl,margin,12.982,20,0.9630593208278917
nfl,margin,12.982,21,1.2862929940380492
nfl,margin,12.982,22,0.6495906808025461
nfl,margin,12.982,23,0.7182192289821409
nfl,margin,12.982,24,1.4250582432811398
nfl,margin,12.982,25,0.8911100458278299
nfl,margin,12.982,26,1.0356897969061964
nfl,margin,12.982,27,1.1277071007395476
nfl,margin,12.982,28,1.8714459968388957
nfl,margin,12.982,29,1.0
nfl,margin,12.982,30,1.0
nfl,margin,12.982,31,1.0
nfl,margin,12.982,32,1.0
nfl,margin,12.982,33,1.0
nfl,margin,12.982,34,1.0
nfl,margin,12.982,35,1.0
nfl,margin,12.982,36,1.0
nfl,margin,12.982,37,1.0
nfl,margin,12.982,38,1.0
nfl,margin,12.982,39,1.0
nfl,margin,12.982,40,1.0
nfl,margin,12.982,41,1.0
nfl,margin,12.982,42,1.0
nfl,margin,12.982,43,1.0
nfl,margin,12.982,44,1.0
nfl,margin,12.982,45,1.0
nfl,margin,12.982,46,1.0
nfl,margin,12.982,47,1.0
nfl,margin,12.982,48,1.0
nfl,margin,12.982,49,1.0
nfl,margin,12.982,50,1.0
nfl,margin,12.982,51,1.0
nfl,margin,12.982,52,1.0
nfl,margin,12.982,53,1.0
nfl,margin,12.982,54,1.0
nfl,margin,12.982,55,1.0
nfl,margin,12.982,56,1.0
nfl,margin,12.982,57,1.0
nfl,margin,12.982,58,1.0
nfl,margin,12.982,59,1.0
nfl,margin,12.982,60,1.0
nfl,margin,12.982,61,1.0
nfl,margin,12.982,62,1.0
nfl,margin,12.982,63,1.0
nfl,margin,12.982,64,1.0
nfl,margin,12.982,65,1.0
nfl,margin,12.982,66,1.0
nfl,margin,12.982,67,1.0
nfl,margin,12.982,68,1.0
nfl,margin,12.982,69,1.0
nfl,margin,12.982,70,1.0
nfl,margin,12.982,71,1.0
nfl,margin,12.982,72,1.0
nfl,margin,12.982,73,1.0
nfl,margin,12.982,74,1.0
nfl,margin,12.982,75,1.0
nfl,margin,12.982,76,1.0
nfl,margin,12.982,77,1.0
nfl,margin,12.982,78,1.0
nfl,margin,12.982,79,1.0
nfl,margin,12.982,80,1.0
nfl,total,13.076,,
