game_id,season,week,market,prediction,threshold,model_version,refreshed_at
401640992,2024,5,margin,-1.124,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401640992,2024,5,total,58.168,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856696,2026,4,margin,26.262,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856696,2026,4,total,51.822,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856697,2026,4,margin,13.021,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856697,2026,4,total,55.337,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856698,2026,4,margin,-2.674,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856698,2026,4,total,55.121,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856699,2026,4,margin,-1.271,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856699,2026,4,total,58.865,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856700,2026,4,margin,14.750,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856700,2026,4,total,44.199,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856702,2026,4,margin,11.095,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856702,2026,4,total,44.427,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856703,2026,4,margin,6.174,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856703,2026,4,total,54.324,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856704,2026,4,margin,-0.758,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856704,2026,4,total,53.847,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856804,2026,4,margin,-0.892,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856804,2026,4,total,45.688,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856805,2026,4,margin,24.330,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856805,2026,4,total,52.128,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856806,2026,4,margin,-6.509,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856806,2026,4,total,50.924,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856813,2026,4,margin,4.686,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856813,2026,4,total,61.566,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856814,2026,4,margin,-4.328,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856814,2026,4,total,55.899,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856815,2026,4,margin,3.229,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856815,2026,4,total,52.443,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
401856816,2026,4,margin,-7.143,10.717,73d507ab32ad,2026-09-24T12:13:20+00:00
401856816,2026,4,total,50.687,9.165,64a8b2aa5365,2026-09-24T12:13:20+00:00
