sport,game_id,kickoff,model,home_margin,home_win_prob,as_of,fetched_at,detail
ncaaf,401856704,2026-09-26T16:00Z,elo,-4.233,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1771 home, 1935 away"
ncaaf,401856704,2026-09-26T16:00Z,fpi,-7.192,0.301,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856704,2026-09-26T16:00Z,sp_plus,-1.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 20.2 home, 24.1 away"
ncaaf,401856805,2026-09-26T16:00Z,elo,30.933,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1841 home, 1161 away"
ncaaf,401856805,2026-09-26T16:00Z,fpi,28.618,0.966,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856805,2026-09-26T16:00Z,sp_plus,37.300,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 18.5 home, -16.3 away"
ncaaf,401856813,2026-09-26T16:00Z,elo,11.100,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1534 home, 1330 away"
ncaaf,401856813,2026-09-26T16:00Z,fpi,11.731,0.798,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856813,2026-09-26T16:00Z,sp_plus,10.500,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 6.8 home, -1.2 away"
ncaaf,401858236,2026-09-26T16:00Z,fpi,49.777,0.997,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858242,2026-09-26T16:00Z,elo,-1.942,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1380 home, 1489 away"
ncaaf,401858242,2026-09-26T16:00Z,fpi,-15.478,0.140,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858242,2026-09-26T16:00Z,sp_plus,-14.800,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -4.9 home, 12.4 away"
ncaaf,401858243,2026-09-26T16:00Z,elo,9.933,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1690 home, 1514 away"
ncaaf,401858243,2026-09-26T16:00Z,fpi,11.863,0.801,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858243,2026-09-26T16:00Z,sp_plus,12.200,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 13.3 home, 3.6 away"
ncaaf,401858465,2026-09-26T16:00Z,elo,21.058,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 2032 home, 1589 away"
ncaaf,401858465,2026-09-26T16:00Z,fpi,25.365,0.952,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858465,2026-09-26T16:00Z,sp_plus,21.100,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 29.7 home, 11.1 away"
ncaaf,401860893,2026-09-26T16:00Z,elo,6.475,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1561 home, 1468 away"
ncaaf,401860893,2026-09-26T16:00Z,fpi,5.584,0.658,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401860893,2026-09-26T16:00Z,sp_plus,-0.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -5.4 home, -2.5 away"
ncaaf,401860896,2026-09-26T16:00Z,elo,10.058,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1506 home, 1327 away"
ncaaf,401860896,2026-09-26T16:00Z,fpi,7.560,0.708,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401860896,2026-09-26T16:00Z,sp_plus,7.700,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -1.4 home, -6.6 away"
ncaaf,401864512,2026-09-26T16:00Z,elo,-21.692,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 897 home, 1480 away"
ncaaf,401864512,2026-09-26T16:00Z,fpi,-9.807,0.240,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401864512,2026-09-26T16:00Z,sp_plus,-15.000,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -20.8 home, -3.3 away"
ncaaf,401866425,2026-09-26T16:00Z,elo,-0.483,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1007 home, 1081 away"
ncaaf,401866425,2026-09-26T16:00Z,fpi,-0.035,0.499,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401866425,2026-09-26T16:00Z,sp_plus,2.000,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -24.8 home, -24.3 away"
ncaaf,401864576,2026-09-26T16:45Z,elo,7.308,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1506 home, 1393 away"
ncaaf,401864576,2026-09-26T16:45Z,fpi,19.268,0.906,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401864576,2026-09-26T16:45Z,sp_plus,21.100,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 6.5 home, -12.1 away"
ncaaf,401866427,2026-09-26T17:00Z,fpi,15.125,0.855,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858462,2026-09-26T17:30Z,elo,1.433,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1474 home, 1502 away"
ncaaf,401858462,2026-09-26T17:30Z,fpi,2.691,0.578,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858462,2026-09-26T17:30Z,sp_plus,1.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 7.9 home, 9.0 away"
ncaaf,401858467,2026-09-26T18:00Z,elo,-28.650,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1311 home, 2061 away"
ncaaf,401858467,2026-09-26T18:00Z,fpi,-27.964,0.036,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858467,2026-09-26T18:00Z,sp_plus,-26.300,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -2.1 home, 26.7 away"
ncaaf,401864511,2026-09-26T18:00Z,elo,4.017,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1274 home, 1240 away"
ncaaf,401864511,2026-09-26T18:00Z,fpi,11.341,0.791,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401864511,2026-09-26T18:00Z,sp_plus,2.600,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -19.6 home, -19.7 away"
ncaaf,401858237,2026-09-26T19:00Z,fpi,41.928,0.993,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401864510,2026-09-26T19:00Z,elo,-4.233,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1268 home, 1432 away"
ncaaf,401864510,2026-09-26T19:00Z,fpi,-7.143,0.302,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401864510,2026-09-26T19:00Z,sp_plus,-5.400,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -15.0 home, -7.1 away"
ncaaf,401856699,2026-09-26T19:30Z,elo,-5.358,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1668 home, 1859 away"
ncaaf,401856699,2026-09-26T19:30Z,fpi,1.073,0.531,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856699,2026-09-26T19:30Z,sp_plus,4.700,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 17.8 home, 15.6 away"
ncaaf,401856700,2026-09-26T19:30Z,elo,10.517,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1972 home, 1782 away"
ncaaf,401856700,2026-09-26T19:30Z,fpi,13.730,0.834,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856700,2026-09-26T19:30Z,sp_plus,13.100,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 28.2 home, 17.6 away"
ncaaf,401856815,2026-09-26T19:30Z,elo,-3.567,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1481 home, 1629 away"
ncaaf,401856815,2026-09-26T19:30Z,fpi,0.584,0.517,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856815,2026-09-26T19:30Z,sp_plus,-3.200,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 5.5 home, 11.2 away"
ncaaf,401856816,2026-09-26T19:30Z,elo,-6.733,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1683 home, 1907 away"
ncaaf,401856816,2026-09-26T19:30Z,fpi,-9.755,0.241,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401856816,2026-09-26T19:30Z,sp_plus,-8.700,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 5.8 home, 17.0 away"
ncaaf,401858244,2026-09-26T19:30Z,fpi,40.202,0.991,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858463,2026-09-26T19:30Z,elo,-1.983,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1735 home, 1845 away"
ncaaf,401858463,2026-09-26T19:30Z,fpi,5.297,0.651,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401858463,2026-09-26T19:30Z,sp_plus,0.300,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ 15.1 home, 17.3 away"
ncaaf,401860897,2026-09-26T19:30Z,elo,-1.150,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1519 home, 1609 away"
ncaaf,401860897,2026-09-26T19:30Z,fpi,-4.941,0.359,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401860897,2026-09-26T19:30Z,sp_plus,-7.000,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -2.6 home, 6.9 away"
ncaaf,401861970,2026-09-26T19:30Z,elo,-6.192,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"Elo 1263 home, 1474 away"
ncaaf,401861970,2026-09-26T19:30Z,fpi,-0.093,0.497,2026-09-26T11:00Z,2026-09-26T15:13:49.142330+00:00,
ncaaf,401861970,2026-09-26T19:30Z,sp_plus,1.700,,2026-09-26T15:13:49.142330+00:00,2026-09-26T15:13:49.142330+00:00,"SP+ -6.0 home, -5.2 away"
