captured_at,game_id,book,market,line,price,open_line,open_price,status,last_seen_at,other_price
2026-09-24T12:13:44+00:00,401856696,DraftKings,margin,12.500,-110.000,11.500,-108.000,STATUS_SCHEDULED,2026-09-24T22:45:28+00:00,
2026-09-25T00:54:08+00:00,401856696,DraftKings,margin,12.500,-110.000,11.500,-108.000,STATUS_SCHEDULED,2026-09-26T14:28:46+00:00,-110.000
2026-09-23T19:53:37+00:00,401856696,DraftKings,total,53.500,-115.000,46.500,-115.000,STATUS_SCHEDULED,2026-09-23T20:04:04+00:00,
2026-09-24T12:13:44+00:00,401856696,DraftKings,total,53.500,-110.000,46.500,-115.000,STATUS_SCHEDULED,2026-09-24T21:46:26+00:00,
2026-09-24T22:45:28+00:00,401856696,DraftKings,total,54.500,-108.000,46.500,-115.000,STATUS_SCHEDULED,2026-09-24T22:45:28+00:00,
2026-09-25T00:54:08+00:00,401856696,DraftKings,total,54.500,-108.000,46.500,-115.000,STATUS_SCHEDULED,2026-09-26T14:28:46+00:00,-112.000
2026-09-24T12:13:44+00:00,401856697,DraftKings,margin,7.000,-110.000,8.500,-105.000,STATUS_SCHEDULED,2026-09-24T18:17:56+00:00,
2026-09-24T19:14:09+00:00,401856697,DraftKings,margin,7.000,-112.000,8.500,-105.000,STATUS_SCHEDULED,2026-09-24T22:45:28+00:00,
2026-09-25T00:54:08+00:00,401856697,DraftKings,margin,7.000,-112.000,8.500,-105.000,STATUS_SCHEDULED,2026-09-26T03:35:33+00:00,-108.000
2026-09-26T13:24:25+00:00,401856697,DraftKings,margin,7.000,-110.000,8.500,-105.000,STATUS_SCHEDULED,2026-09-26T14:28:46+00:00,-110.000
2026-09-23T19:53:37+00:00,401856697,DraftKings,total,50.500,-112.000,52.500,-115.000,STATUS_SCHEDULED,2026-09-23T20:04:04+00:00,
2026-09-24T12:13:44+00:00,401856697,DraftKings,total,50.500,-105.000,52.500,-115.000,STATUS_SCHEDULED,2026-09-24T18:17:56+00:00,
2026-09-24T19:14:09+00:00,401856697,DraftKings,total,50.500,-115.000,52.500,-115.000,STATUS_SCHEDULED,2026-09-24T22:45:28+00:00,
2026-09-25T00:54:08+00:00,401856697,DraftKings,total,50.500,-115.000,52.500,-115.000,STATUS_SCHEDULED,2026-09-26T14:28:46+00:00,-105.000
2026-09-24T12:13:44+00:00,401856698,DraftKings,margin,9.500,-110.000,8.500,-110.000,STATUS_SCHEDULED,2026-09-24T22:45:28+00:00,
2026-09-25T00:54:08+00:00,401856698,DraftKings,margin,9.500,-110.000,8.500,-110.000,STATUS_SCHEDULED,2026-09-25T18:25:20+00:00,-110.000
2026-09-25T21:13:04+00:00,401856698,DraftKings,margin,9.500,-115.000,8.500,-110.000,STATUS_SCHEDULED,2026-09-25T21:13:04+00:00,-105.000
2026-09-25T23:25:34+00:00,401856698,DraftKings,margin,9.500,-110.000,8.500,-110.000,STATUS_SCHEDULED,2026-09-26T13:37:37+00:00,-110.000
2026-09-26T13:52:44+00:00,401856698,DraftKings,margin,10.000,-105.000,8.500,-110.000,STATUS_SCHEDULED,2026-09-26T14:07:41+00:00,-115.000
2026-09-26T14:22:36+00:00,401856698,DraftKings,margin,10.000,-108.000,8.500,-110.000,STATUS_SCHEDULED,2026-09-26T14:28:46+00:00,-112.000
2026-09-22T17:25:33+00:00,401856698,DraftKings,total,55.500,-105.000,50.500,-112.000,STATUS_SCHEDULED,2026-09-22T17:25:33+00:00,
2026-09-23T18:31:11+00:00,401856698,DraftKings,total,54.500,-115.000,50.500,-112.000,STATUS_SCHEDULED,2026-09-23T18:31:11+00:00,
2026-09-24T12:13:44+00:00,401856698,DraftKings,total,55.500,-102.000,50.500,-112.000,STATUS_SCHEDULED,2026-09-24T22:45:28+00:00,
2026-09-25T00:54:08+00:00,401856698,DraftKings,total,55.500,-102.000,50.500,-112.000,STATUS_SCHEDULED,2026-09-25T00:54:08+00:00,-118.000
2026-09-25T07:30:32+00:00,401856698,DraftKings,total,55.500,-108.000,50.500,-112.000,STATUS_SCHEDULED,2026-09-26T14:28:46+00:00,-112.000
2026-09-22T17:45:06+00:00,401856699,DraftKings,margin,3.500,-108.000,1.500,-108.000,STATUS_SCHEDULED,2026-09-22T17:45:06+00:00,
2026-09-23T02:42:24+00:00,401856699,DraftKings,margin,3.000,-122.000,1.500,-108.000,STATUS_SCHEDULED,2026-09-23T02:42:24+00:00,
2026-09-23T18:31:11+00:00,401856699,DraftKings,margin,3.000,-115.000,1.500,-108.000,STATUS_SCHEDULED,2026-09-23T18:31:11+00:00,
2026-09-23T19:53:37+00:00,401856699,DraftKings,margin,3.000,-118.000,1.500,-108.000,STATUS_SCHEDULED,2026-09-23T19:58:31+00:00,
2026-09-24T12:13:44+00:00,401856699,DraftKings,margin,3.500,100.000,1.500,-108.000,STATUS_SCHEDULED,2026-09-24T21:46:26+00:00,
2026-09-24T22:45:28+00:00,401856699,DraftKings,margin,3.500,-105.000,1.500,-108.000,STATUS_SCHEDULED,2026-09-24T22:45:28+00:00,
